,id,judul,penyanyi,link,lirik,lang
17488,17489,The Best Part (feat. Tommy Page),Amy Mastura,https://lirik.kapanlagi.com/artis/amy-mastura/the-best-part-feat-tommy-page/,"The best part of the morning Is opening my eyes Seeing you next to me Makes me realize That all in my heart You're the best part The best part of the day Is receiving your call Taking me away From the rest of it all Hearing your voice That's the best part The best part of sundown Is the colourful sky Dreaming of us, eye to eye Thinking of you That's the best part Although there may be bad times That cause us some pain If all the times were good It wouldn't be true But i'd go through the bad times Just to have One good times with you When i think of my life Everyday in my life The best part of living has been you When i dream in the night Hold you close hold you tight The best part of loving comes true The best part of my life Is being with you If you ever away My life would be through Cause right from the start You've been the best part The best part",en
17489,17490,The Best Thing,Mocca,https://lirik.kapanlagi.com/artis/mocca/the-best-thing/,"Iâve got the best thing in the world Cozâ I got you in my heart And this screw little world Letâs hold hand together We can share forever Maybe someday the sky will be coloured with our love I wake up in the morning Feeling emptyness in my heart This pain is just too real I dream about you, with someone else Please say that you love me That weâll never be apart You have to promise That you will be faithfull And there will be lots and lots of love It is the thing that really matters in this worldâ¦",en
17490,17491,The Big Bang Prophecy,Everybody Loves Irene,https://lirik.kapanlagi.com/artis/everybody-loves-irene/the-big-bang-prophecy/,Yes we know that our earth is sick And we're desperately trying to cure it So let's just drop something atomic As an action to clean it Then the World will soon come to its end but we'll still be together holding hands Being the new Adam and Eve In the sunset of the New Year's Eve Let's build a new world of utopia Where there will be no hysteria Let's build a new world of utopia Like how it was on the Atlantis There will be no Benny and fascist Nor the likes of Adolf the racist Big big bang the answer is Let's build a new world of utopia Where there will be no hysteria Let's make the way like Lennon's imagine The world that full with gibran's limb Let's build a new world of utopia Where there will be no hysteria Let's make the way like Lennon's imagine The world that full with gibran's limb Let's make the way like Lennon's imagine Now we know that our earth is sick And we can do nothing to cure it So let's just drop something atomic Maybe it will help to pure it We're gonna make a new place of us We're gonna build something what we trust But we need an Armageddon first Big big bang the answer is!,en
17491,17492,The Boy From Ipanema,Andien,https://lirik.kapanlagi.com/artis/andien/the-boy-from-ipanema/,"Tall, and tan, and young, and handsome The boy from Ipanema goes walking And when he passes Each one he passes goes - ""ah."" When he walks he's like a samba That swings so cool and sways so gentle That when he passes Each one he passes goes - ""ah."" Oh, but I watch him so sadly How can I tell him I love him Yes I would give my heart gladly But each day when he walks to the sea He looks straight ahead, not at me Tall, and tan, and young and handsome The boy from Ipanema goes walking And when he passes I smile - but he doesn't see Olha que coisa mais linda, mais cheia de graÃ§a Ã ela menino que vem e que passa Num doce balanÃ§o caminho do mar MoÃ§o do corpo dourado do sol de Ipanema O seu balanÃ§ado Ã© mais que um poema Ã a coisa mais linda que jÃ¡ vi passar Oh, but I watch him so sadly How can I tell him I love him Oh yes I would give my heart gladly But each day when he walks to the sea He looks straight ahead, not at me Tall, and tan, and young and handsome The boy from Ipanema goes walking And when he passes I smile - but he doesn't see No he doens't see He just doens't see No he doesn't see He just doesn't see He's...not for me He just...doesn't see No he doesn't see He just doesn't see...",en
17492,17493,The Broken Song,Superman is Dead,https://lirik.kapanlagi.com/artis/superman-is-dead/the-broken-song/,I look up the sky itâs nothing there could make me smile And the moon is dark itâs time to let you go The scratches in my heart I know itâs real but feel so fake I could neverâ¦ Cos when I look back so many things I should regret My insecurity wonât dry to pull you down All this things surrounding me is never compromise Bring the devil get outta my side This broken heart and broken life Iâve made it all no turning back Now should I stay here with no lights Or should I go for one last try The brighter side of me is grey so hard to make it white And the reasons just completely out of sight Iâll come back and try when I know Iâm a better man Then again that will never come true I wonder why we say good bye Wonder why I fucked up everything And just today Iâve found it why Like they say some was born to lose,en
17493,17494,The Champion,Moszn,https://lirik.kapanlagi.com/artis/moszn/the-champion/,"Tiada jalan pintas tuk raih kemenangan Menjadi sang juara, keyakinan you can be the one Rasakan sensasi berada di tangga teratas They will call you the number one, tiada ragu mission accomplished Stand up tall when they call you the champ Crowd yell yell to you hey the champ Lift the chin up and look up to the sky Thanks God for His bless, i am the champ Banggalah sebagai sang juara, salut salam tuk âmu hei juara Rendah hati dan bersyukur, alhamdulillah i am the champion Winner takes it all, greatest moment for the best Donât you want to be the one, convince yourself You can feel sensation when you know youâve reached over the top Youâre absolute the champion, no hesitate, mission accomplished Stand up tall when they call you the champ Crowd yell yell to you hey the champ Lift the chin up and look up to the sky Thanks God for His bless, i am the champ Banggalah sebagai sang juara, salut salam tuk âmu hei juara Rendah hati dan bersyukur, alhamdulillah Stand up tall when they call you the champ Crowd yell yell to you hey the champ Lift the chin up and look up to the sky Thanks God for His bless, i am the champion",en
17494,17495,The Chemistry (between Us),Butterfingers,https://lirik.kapanlagi.com/artis/butterfingers/the-chemistry-between-us/,I never again and again count it over Never again and again and again this why ? Come on again and again on my power And on the shame and my pain will I get this ? Why ? it's so real!!! Fall in love again ? It's all we have to live Whenever i'm unseen I blame it on myself All over again and again coming over Never again and again and again this why ? Come on again and again on my power And on the shame and my pain will I get this ? Why ? it's so real!! Fall in love again? It's easier to be.. Whenever i'm unseen I blame it on myself Silky coloured will you love me ? (Suck !) Silky coloured will you leave me ? Silky coloured Indecision (Go !) Silky coloured Cause i'm a patient.. yaaaaa...heyyy... Fall in love again ? It's all we have to live.. Whenever i'm unseen I blame it on myself X 2 Nooo!!!! Fall in love again ? Fall in love again ? Hmmmm....,en
17495,17496,The Comeback,Pandji Pragiwaksono,https://lirik.kapanlagi.com/artis/pandji-pragiwaksono/the-comeback/,"Assalamualaikum people do welcome me back I aint no terroris / be cool / i aint gonna attack Im a moslem and especialy Indonesian. We dont do stupid things man / we're to proud for that So back /to back / to back You can call it Threepeat or Hattrick but thats the fact Dont miss me too long coz every year i'll comeback You can hack my account /never my brain/ not that Im a / goldren rettriever i dont bite back If you growl / i'll smile / u need a bag for that? Im like Jordan/ who one day went away He did all sorts of stuff and baseball (hooray) And then he played one on one with armstrong BJ Next thing you know/ he shocked the world in two words 'Im Back' So the league he attacked/ went three peat after that/ Businesss good for David Stern Coz everybody loves a comeback CHORUS Down and out and told to go Told to sit on the further row Down and out and told to go. Got to go Got to go Grindin hard and strife for gold Hustle hard and hustle more Grindin hard and strife for gold Thats fo sho, thats fo sho Muhammad Ali / world champion / top of the world Lost his title / got sent to the end of the world No title no problem/ swagger on control Back to the gym/ and let the punches roll Foreman/ young man/ trapped him back on ropes One hook / One Straight / young man knocked ice cold First ever comesback/ and its over folks At 32 / again he shook off the world And now im back for you boys and girls So i can add more songs for Soulnation thrills 3rd album packed with stuffs that'll make u chill Open ur mind and heart and let ur mind be filled Patriotism 2.0 / in stereo Provocative album thrice in a row And if u think its whack/ lemme ponder that/ get back to the lab Coz Everybody loves a comeback CHORUS BRIDGE What doesnt kills you makes you stronger If u survived/ ur meant to make a comeback In your return be faster and harder Defeat feels whack /but we know nothing feels better than a comeback",en
17496,17497,The Curse of The Contact Key,Sindentosca,https://lirik.kapanlagi.com/artis/sindentosca/the-curse-of-the-contact-key/,Why I can't drive my own car? I can't drive my own bike I can't drive my own life I can't drive...,en
17499,17500,The Days Of A Father,Superman Is Dead,https://lirik.kapanlagi.com/artis/superman-is-dead/the-days-of-a-father/,"When the morning comes to spot my eyes From the darkest nights Lots of journey I spent those night Only crying without a voice To the outside sound that flowing Like a blood from another flesh Misery wonât leave me a history And hard to hide alone Chorus Blow me up just like a fire till... I meet you, my lovely son Send my messages to the light I wanna have another hope Keep on crying in the darkness Can you hear me loud and clear Your words still live in my head I fall and canât deny it... Can't deny it.... can't deny it Reff Wake me up from these dream, Please help me out Wish i could kill my own history Start a light gonna get me out now Count on my days, time is up tell me to wait Face to face with this reality, not enough To redeem all my wounded pain From this regret, I find a spot of turning back From this rusty cave I break my self To see my burning pain My insecurity is dead, And always burns along my eyes I am little screaming creature, Don't know how to sing a song They're all buried in the moon light And hard to take it back Back to Chorus Back to Reff",en
17503,17504,The End Of A Story,Anggun,https://lirik.kapanlagi.com/artis/anggun/the-end-of-a-story/,"There are thin lines between faith and betrayal Yes and denial Victory surrender, attacker defender, first and last When you're in love And you fear it's gonna crash Thin lines between hope and illusion Sanity devotion Forget remember, real pretender, smile and cry When you're in love And you fear it's gonna die Turn truth into a lie and fly away Chorus: If you had to leave me Take me with you when you go away If you can't stay with me What's about to begin is the end of a story Don't go without me Take me with you somewhere on your way If you can't stay with me What's about to begin is the end of a story There are thin lines between trust and deception Rule and exception Safe and danger, fear and anger, strong or weak When you're in love And you fear it's gonna fade Thin lines between threat and temptation Peace and frustration Divide together, worse or better, truth or lie When you're in love And you fear it's gonna slide Turn truth into a lie and fly away (Repeat chorus) I see your ice/eyes some rain would change And right before my face a shadow turns the page A strange man I know so well seems to want to let me know What I don't want to know",en
17504,17505,The Equation,NSG Star,https://lirik.kapanlagi.com/artis/nsg-star/the-equation/,"One to the two to the three to the four Everybody get down to the dance floor Coz every little things you do, little things you say Make up the equation, get me going over you Coz every little things you do, little things you say Make up the equation, get me going over you Baby girl, I see you're looking at me We're gonna heat up on the dance floor I wanna see you say that thing Baby girl, Is this something you want from me? coz I gotta gotta got gotta gotta have a piss off you Coz every little things you do, little things you say Make up the equation, get me going over you Coz every little things you do, little things you say Make up the equation, get me going over you Baby girl I need you..",en
17505,17506,The Game,Rif,https://lirik.kapanlagi.com/artis/rif/the-game/,"I want to leave, just get away. I canât take It I canât takeâ¦ canât take it any more It should be so simple, whyâs it so hard And I want someone who will quit with me So we can be free from what they play So I have keep goinâ, and get away form here So I have keep goinâ, and get away form here How to escape this false reality? How to make concrete whatâs realy me ? And so I haveâ¦ So I have keep goinâ, and get away form here So I have keep goinâ, and get away form here",en
17507,17508,The Hardest Part,Cokelat,https://lirik.kapanlagi.com/artis/cokelat/the-hardest-part/,"Oooh... I've found someone else That makes me feel life is right again Ooooh... Aku bertemu seseorang Aku tergoda Ooooh... The hardest part of love Is I can't have it all, cause I belong to someone Oooh... Sungguh berarti Saat kau datang dalam hidupku Ooooh... Just happened in time You came to my life, i can't holding on... Oooh... Tak mudah bagiku 'Tuk mencintaimu... aku bukan milikmu Oooh... The hardest part of love Is I can't do it all... cause you belong to someone",en
17508,17509,The Hardest Part Feat Angie Hart,Cokelat,https://lirik.kapanlagi.com/artis/cokelat/the-hardest-part-feat-angie-hart/,"Oooh... I've found someone else That makes me feel life is right again Ooooh... Aku bertemu seseorang Aku tergoda Ooooh... The hardest part of love Is I can't have it all, cause I belong to someone Oooh... Sungguh berarti Saat kau datang dalam hidupku Ooooh... Just happened in time You came to my life, i can't holding on... Oooh... Tak mudah bagiku 'Tuk mencintaimu... aku bukan milikmu Oooh... The hardest part of love Is I can't do it all... cause you belong to someone",en
17509,17510,The Hardest Part Feat Angie Hart (Ex. Frente),Cokelat,https://lirik.kapanlagi.com/artis/cokelat/the-hardest-part-feat-angie-hart-ex-frente/,"Oooh... I've found someone else That makes me feel life is right again Ooooh... Aku bertemu seseorang Aku tergoda Ooooh... The hardest part of love Is I can't have it all, cause I belong to someone Oooh... Sungguh berarti Saat kau datang dalam hidupku Ooooh... Just happened in time You came to my life, i can't holding on... Oooh... Tak mudah bagiku 'Tuk mencintaimu... aku bukan milikmu Oooh... The hardest part of love Is I can't do it all... cause you belong to someone",en
17510,17511,The Horsemen,Pure Saturday,https://lirik.kapanlagi.com/artis/pure-saturday/the-horsemen/,"Heâs standing on top of the rock Waving his hand & tell that the game is over He said; You have won too many fights! Using those swords all the times I donât think itâs time to put the weapons down The enemy may profess its love But I have let my heart decide I swear Iâll bring it home to you Let the water fill the current Like you let me fix the failure It wonât stop till the dike hold up It wonât be clearer 'till we reach the waterfall They tell me to come backwards But I got to carry on those words Theyâve forgotten how to treat the world And said; âHey, câmon! Show your brave man side!â In your heart itâs growing, thereâs a numbness You have won to many fight, Using those words all the time, Then we have to carry onâ¦ ooohhhâ¦.",en
17511,17512,The Journey Of Mr Who?,Innocenti,https://lirik.kapanlagi.com/artis/innocenti/the-journey-of-mr-who/,"I saw you as a person, nothing less nothing more I saw you as a person, nothing less nothing more I see the dark side of a man is coming to me I feel the dark side of a man is coming to me",en
17517,17518,The Martyrium,Melody Maker,https://lirik.kapanlagi.com/artis/melody-maker/the-martyrium/,"Everytime i watch the world today War is like the children play and nothing we could say Everyday people are being killed like a scum, full of fear and we can't just sit down here Run for the shelter (the bombs is coming at you) save our childrens (from the blast around you) please Guide us, Ooh God (find some peace and light) Grind all enemies!! And all of us will become the frontier your Martyrium We hold our hands to hide our tears n fears There's nothing can save us We hold our hands to hide our tears n fears There's nothing can save us Everyday i watch the window still it's makes me ill.. The war that's so real Everyday people are being thrilled from the songs of bombs so let's move your ass, baby!! And all of us will become the frontier Your Martyrium We hold our hands to hide our tears n fears our last chance of hope And just wait till the hand of God is reaching us The Martyrium And Our blood will be shed just to proving you We died for nothing The endless war is nothing but fear, This endless sins will haunting you",en
17519,17520,The Noble Savage,The Trees and The Wild,https://lirik.kapanlagi.com/artis/the-trees-and-the-wild/the-noble-savage/,"Bone and stones will collide with hope And fear old lust, old lust Dont believe the words he sold so fierce Through those tubes, old tubes Move inside your skin i dont mind dying And down to your heart inside and out I wish i was blind just for awhile An ageless cloak covers the oak Dont believe a word Dont believe a word Anchorage is so far dont you think? But why we're feeling this blistering, blistering cold? Move inside your skin i dont mind dying An down to your heart inside and out I wish i was blind just for awhile An ageless cloak covers the oak Dont believe the word Dont believe the word It lurk like spinning wheels Dont believe the word Dont believe the word I'll pay tribute to the wires and tubes Wires and tubes Wires and tubes",en
17521,17522,The One You Loved,Lea Simanjuntak,https://lirik.kapanlagi.com/artis/lea-simanjuntak/the-one-you-loved/,I want you to know about my past As much as I dont want you to know It would not be fair for you To not know what iâve been through Still iâm afraid to let u know To share my indecent past Will u remain unchanged Will u still love me like you do If I could just turn back the hands of time And change it all for you If I could just erase it all If only I could And somewhere you decide That iâm not worth enough Please remember that i That I just wanna be the one you loved If I could just only have one wish I wish I had a better life And youâll be by my side Forever in my life But my life is made out from the past So does your life iâm sure Iâm wonder if uâre the one Who can take me as I am If I could just turn back the hands of time And change it all for you If I could just erase it all If only I could And somewhere you decide That iâm not worth enough Please remember that i That I just wanna be the one you loved You know I love you baby But I dont wanna hold you back now,en
17523,17524,The Only One (OST Merpati Tak Pernah Ingkar Janji),Adi Bing Slamet,https://lirik.kapanlagi.com/artis/adi-bing-slamet/the-only-one-ost-merpati-tak-pernah-ingkar-janji/,"Baby, I love you more than before Looking at those stars in the sky They are beautiful tonight Darling, I won't let my feelings go Cause you're the only one I have in my heart Reff. So please, stay with me forever Till the end of my life (2x) So please, stay with me forever Till the end of my life (2x) And so many years gone I felt so secure Cause you, I believe in you And I'll do all I can to be with you again Oh darling... I love you more each day",en
17526,17527,The Party,The SIGIT,https://lirik.kapanlagi.com/artis/the-sigit/the-party/,"Too little money, too proudy country Too fucked to move, die in a hurry Much have been mentioned, to get attention The more I tell the truth the more I get the tention Too little money, too proudy party Too screwed to prove, thereâs nothing to worry Iâve done too many, not earn a penny The more I seek the truth the more I lose my pension # They wonât give you no chance Theyâre only drinking on you to dance Too little money Too proudy country Too little money",en
17528,17529,The Prayer,Delon,https://lirik.kapanlagi.com/artis/delon/the-prayer/,"I pray you?ll be our eyes, and watch us where we go And help us to be wise, in times when we don?t know Let this be our prayer, when we lose our way Lead us to the place, guide us with your grace To a place where we?ll be safe. La luce che tu dai I pray we?ll find your light Nel cuore rester? And hold it in our hearts A ricordarci che When stars go out each night L?eterna stella sei Nella mia preghiera Let this be our prayer Quanta fede c?? When shadows fill our day Lead us to a place Guide us with your grace Give us faith so we?ll be safe Sognamo un mondo senza pi? violenza Un mondo di giustizia e di speranza Ognuno dia la mano al suo vicino Simbolo di pace e di fraternit? La forza che ci dai We ask that life be kind ? il desiderio che And watch us from above Ognuno trovi amor We hope each soul will find Intorno e dentro a s? Another soul to love Let this be our prayer Let this be our prayer Just like every child Just like every child Need to find a place, guide us with your grace Give us faith so we?ll be safe E la fede che Hai acceso in noi Sento che ci salver?",en
17530,17531,The Real Me,Ressa Herlambang,https://lirik.kapanlagi.com/artis/ressa-herlambang/the-real-me/,"Baby you're the one And that's reveal from my heart This rhythms to you This feeling's never gonna change But you hardly change the way i am To be the one you found of No I can't lie Even though that would make you happy Something you've got to know And see what my heart wants to show Chorus: Oh If you really host to love me girl If you want to take my heart away Then you've got to know and realized The real me Oh If you want to share your heart with me If you're ready to share your life Here i am and this is all for real The real me Bridge: I'm not the perfect guy you wish for Could you sense the good and bad of me For the sake of love There's nothing else i'm asking for But to feel what true love is Cause, only love brightens our lives",en
17532,17533,The Reason Is You,Nina,https://lirik.kapanlagi.com/artis/nina/the-reason-is-you/,"This train is riding slow And that train never will One is always heading for the sea And the other wants to ride the hill Both trains were our trains All of our life, together Now you say that you don't wanna ride no more On my train Dam dam dam dee du du I know I will lose you Dam dam dam dee du du The reason is you Dam dam dam dee du du Why do I lose you Dam dam dam dee du du The reason is you The reason is you The reason is you... My train is pink and brown Colors you never liked How could you have fallen in love with me When there was so much more You never liked My train was our train Oh look that life together Now you say that you don't wanna ride no more On my train",en
17533,17534,The Right Path,Raihan,https://lirik.kapanlagi.com/artis/raihan/the-right-path/,"Why are we here, where we come from Where's our future, leading us Where's our life, taking us Show us the path, dear Allah What are we, to do here There must be a reason to be here Ya Allah the greatest Nor of these You create for waste Show me the right path The path of the favoured one with Your grace Show me the right path The path of Rasulullah and His companions Don't leave me please Your guidance I need Show me the way, light up my life Don't leave me please Your guidance I need Show me the way, to gain Your love",en
17535,17536,The Road,Dialog Dini Hari,https://lirik.kapanlagi.com/artis/dialog-dini-hari/the-road/,"Out of the corner of my eye An old man walking his love to the world On the other side I see a man taking all from the world Maybe i should walk on Get another point of view The morning light will guide me through Maybe i should walk on I wonât feel like iâm colored blue And the world will guide me through I want to learn, to live, to love I want to feel like iâm free to be me At the end of the road Iâm laughing out loud like iâve never laughed At the same moment Iâm crying out lout like iâve never cried",en
17536,17537,The Second Night,Dian Pramana Putra,https://lirik.kapanlagi.com/artis/dian-pramana-putra/the-second-night/,"You hold me tight And eery night I wanna dance It seems allright you give me, love You shared me the game No lies beetween you and I I never changed my mind Now, I have all I need and I get The second night our second love Became to an end the morning sight Begin to shine and shavin my mind No sign and no break at all Can that night be here again And all satisfied love, Iâll be here Just for you just for you love Time, when youâre here Iâll sing the song Iâll bring my heart for you Sweet .. my love Everypart of my heart Iâll keep my tenderness Iâll be with you You hold me tight it seems all right The second night the mornin g sight Time when you here",en
17537,17538,The Sky So Bright,Innocenti,https://lirik.kapanlagi.com/artis/innocenti/the-sky-so-bright/,"I feel so glad when you're by my side When you touch my heart with your smile Keep me warm with your smile when the winter comes Don't want anything but you by my side Gonna hold you whenever you wnt me to Hold you tight till the nite comes Say that you love me, say it thousand times Don't ever let the wind blows this feeling I will keep you satisfied Oh the sky is so bright when the sun shines Gonna make you comfort all the time Together we can make it through the nite",en
17538,17539,The Supermarket I Am In,Goodnight Electric,https://lirik.kapanlagi.com/artis/goodnight-electric/the-supermarket-i-am-in/,"Let's get together, look for some fun We are getting absurd We're gonna play - we're gonna run I just don't like mustard This glorious day we have no rules We're only stealing colors We are the one who can share all the love In the supermarket Coca cola - drugstore We are dancing on the floor Making out behind the door Campbell soup - I want it more Silly trolley can't you tell me With whom the one that I could be Is it you that I adore? Extra cheese I can't ignore Apple juice - fluoride I see your window open wide Drink some coffee in the night Yea, I smoke but only light A piece of you in my trunk Eat you up like a chocolate chunk Thoughts of you fill up my lung With you I'll be forever drunk",en
17539,17540,The Sweetest Place,Dewa,https://lirik.kapanlagi.com/artis/dewa/the-sweetest-place/,This is the sweetest Place Download More Dewa 19 Lyrics In : www.TopLiRik.com Baring my feelinf I`m welcome and eye Into the darkest one It tells me not to worry For the time is yet to come For someone to arrive And healed the trouble one Suddenly the rainfalls Showering the desert stone Wash away these tears of yesterday I hear the sound of A raising chorus Sung by the angel And the broken heroes I wont go back now i feel so right I`ve found a place Where dreams and life become one And finaaly I don;t have to run I`ve found a place Where dreams and life become one Become one,en
17540,17541,The Tormented Feat Widy Vierra,Killing Me Inside,https://lirik.kapanlagi.com/artis/killing-me-inside/the-tormented-feat-widy-vierra/,"Can you see the times grows older She blew my dreams away It's all done, and now is over I don't know how to say to you You waste my tears now No more torment But don't just say you've gone away You tell a fuckin' tale (Swallow wings and spit me out) How do I get trought of this? (I can't stand it anymore) Can, you, see, me... Smiling when I sing this song Right, now... I just want to be alive You know I was dying when you told me (That I'm not yours anymore) You know I was dying when you told me (You're just playing and fooling around with me) When the time she comes and wakes me (She comes and wakes me) And when she bit my lips and kissed me there And when she holds my hand and lives my life tonight (Live tonight) When she said that she really loves me Were the worst fucking days",en
17542,17543,The Vagabond,Air,https://lirik.kapanlagi.com/artis/air/the-vagabond/,"Golden waves In all directions I could lose my soul right hereÂ  Colour lights On the runway Makes a stranger feel unchainedÂ  I'm running after time and I miss the sunshine Summer days will come happiness will be mine I'm lost in my words I don't know where I'm going I do the best I can not to worry about thingsÂ  I feel loose I feel haggard Don't know what I'm looking forÂ  Something true Something lovely That will make me feel aliveÂ  I'm running after time and I miss the sunshine Summer days will come happiness will be mine I'm lost in my words I don't know where I'm going I do the best I can not to worry about thingsÂ  Like a vagabond through the distance Looking for a song to sing A song that lasts all night And for the rest of our lifes I'm lost in my words I don't know where I'm going I do my best I can not to worry about thingsÂ  I'm running after time and I miss the sunshine (I'm running after time and I miss the sunshine) Summer days will come happiness will be mine (Summer days will come happiness will be mine) I'm lost in my words I don't know where I'm going (I'm lost in my words I don't know where I'm going) I do the best I can not to worry about thingsÂ  (I do the best I can not to worry about things) I'm running after time and I miss the sunshine (I'm running after time and I miss the sunshine) Summer days will come happiness will be mine (Summer days will come happiness will be mine) Oh, shit!",en
17543,17544,The Way Of Love,Haddad Alwi,https://lirik.kapanlagi.com/artis/haddad-alwi/the-way-of-love/,"The Prophet's Path, the Way of Love Only by this Love you'll rise above Like a dove that's been set free Love with longing is the key This love with longing is the key Honey, nectar, sweetness and cream Orchids blooming by a mountain stream Starlit skies and waves on the sand Next to love they can't stand Next to this love they cannot stand Yaa Robii yaa sarii'ar ridho irham man ro-su maalihir-rojaa Wa thina maa qod sa-alnaa bi liqoo-i khoiril anaami, Yaa khoiral a'anaami The Prophet's Path, the Way of Love Only by this Love you'll rise above Like a dove that's been set free Love with longing is the key This love with longing is the key Yaa man-ismuhu dawa wa dzikruhu syifaa-un lana Robbiy faj'al mujtama'na ghoyatuhu husnul khitami Bihusnul khitami How can I find a way to express Something that cannot be thought or guessed Something more than just words This love is neither seen nor heard This love is neither seen nor heard Love is the rope Given by Allah It will save you from over flaw Grasp it then He will draw you near",en
17544,17545,The Way You Look Tonight,Air,https://lirik.kapanlagi.com/artis/air/the-way-you-look-tonight/,"I like the way you look tonightÂ  No blood in your vein, what does it mean ?Â  Trashy art everywhere, on the screenÂ  Slow motion aftertaste, I've had foresightÂ  That's the way you look tonightÂ  I like the way you look tonightÂ  Free union rider in the sunÂ  Here comes the lord of audio beautyÂ  Do you really have a digital body ?Â  People like you grim, lust for funÂ  That's the way you look tonightÂ  The way you look tonightÂ  I like the way you look tonightÂ  The way you look tonight....Â ",en
17545,17546,The Whipper,Viper,https://lirik.kapanlagi.com/artis/viper/the-whipper/,"[Pit Passarell - Felipe Machado - Yves Passarell - Andre Matos - Cassio Audi] I hear the bells chime in the air I feel the misdeed on this land They deceased with our gods But our faith remains the same They come with crosses, priests and rites Destroying all that in ages we found Disrespecting our rights Spreading the Christ by all the ground You must believe in our true You must drink only of our wine You must follow the sacred Bible Our god will save your life But he is the whipper of our souls Death and fear are his whips And he'll never take my life In my heart he'll never be Fight for your faith don't be tied By the claws of the whipper Make your mistakes never follow The laws of the whipper Don't let them choke you don't let them To kill you by the whipper Keep on your faith that's the only Knowledge the whipper How can we make our people Forget this belief Years have passed and consolidated The worst lie that in the world be But I know, the truthful god Has no religion has no rules He's the true that ourselves find And not what the others place in us",en
17546,17547,The Word 'hurricane',Air,https://lirik.kapanlagi.com/artis/air/the-word-hurricane/,"The word 'Hurricane' is the name given to nature's strongest storm. A hurricane occurs when high pressure and low pressure masses of air come in contact with one another.Â  There is often a significant difference in temperature between the two masses.Â  One mass is warm, while the other is cold. The warmer air rises, and the cooler air falls. Likewise, the low pressure area slides down the sides of the high pressure area.Â  They swirl in and around one another, creating the beginnings of the storm.Â ",en
17547,17548,The Words,Rosemary,https://lirik.kapanlagi.com/artis/rosemary/the-words/,"I was sure, that I'll be the one I want And I was sure' I'll be the one you want But I can't get holding on From the words that I can keep Tell me why... what's wrong with me I want to know Tell me why... I don't know Can you see The world is smiling and fall in love with me Can you see now???",en
17548,17549,Theatre Of Fate,Viper,https://lirik.kapanlagi.com/artis/viper/theatre-of-fate/,The crowd came to silence The spotlights are shining A tale has to be told In any age All the world is a stage A play will now begin There once was a child With a dream in his mind And a thousand things to learn But with each passing day His childhood sleeps away How soon the first act ends All the dreams that we have Are lost along the way Victims of real life Now the child is a boy And new dreams have evolved He strives to make them real Not the fear in his heart Nor a past full of pain Will take away his hope But how cruel life is And although he resists New problems will appear So he'll loose one more chance Time destroys all his plans The second act is done All the dreams that we have Are lost along the way Victims of real life We are looking For the meaning of our lives But our faults remain the same And the truth Will be distant from our hearts Where our dreams will never end But our fate is in command Now the boy is a man Though his visions remain He knows they have no chance A heart full of hate All his hope driven away Life's worn down his defence How many lives In the world born and die In disillusionment Not allowed to have dreams And one day make'em real This tale will never end All the dreams that we have Are lost along the way Victims of real life We are looking For the meaning of our lives But our faults remain the same And the truth Will be distant from our hearts Where our dreams will never... We are looking For the meaning of our lives But our faults remain the same And the truth Will be distant from our hearts Where our dreams will never end But our fate is in command But our fate is in command But our fate is in command 					  ,en
17554,17555,There Goes My Inspiration,Utopia,https://lirik.kapanlagi.com/artis/utopia/there-goes-my-inspiration/,"They say pain can bring out the artist's best But since you've been gone, I just can't care less Common sense doesn't realize It can hurt so bad Everyday I sit in my garret staring at the floor But my heart isn't in it anymore There goes my inspiration My reason for creation There goes my inspiration I felt it fly away when you said goodbye Me and Gaugin used to party down I was hung in the Louvre, I was Renoir's pal Vincent Van Gogh used to joke with me Now they don't come 'round It's all over town that the master's lost his touch I'm so lost I can hardly hold a brush There goes my inspiration My reason for creation There goes my inspiration I felt it fly away when you said goodbye And now my palette is a sorry mix of grey and brown And all the other art lovers stay away 'cause I'm bringing them down Now I wander the Left Bank every day Searching for my muse in a sad cafe Peddle my oils to the galleries But they turn me down Everybody says I'm a master of technique But the style and the sentiment is weak There goes my inspiration My reason for creation There goes my inspiration I felt it fly away when you said goodbye There goes my inspiration My reason for creation There goes my inspiration I felt it fly away when you said goodbye",en
